id;text;result
9;Bausituation, Ausländer, Kriminalität,Abbau von Parkplätzen, Generell überall Einschränkungen, Personalprobleme bei der Polizei, Zu grosser Bestand an Staatspersonal;[3, 20, 23, 27, 30]
12;Verkehrssituation und -belastung, steigende Mieten, Wohnungsmangel;[3, 5]
14;Schulsystem für neurodiverse Kinder - es gibt keine adäquaten Schulen, aber die Eltern sind gezwungen, ihre Kinder in Schulen zu schicken, in denen die Betreuungspersonen unqualifiziert sind.  Die offiziellen Stellen (SPD, Schulbehörden) bräuchten dringend Kenntnisse über nicht neurotypische Kinder, wenn sie über sie bestimmen dürfen.    Baustellen immer und überall Unnötige Ausgaben und Baustellen (z. B. Freie Strasse Bepflasterung?????) Überlastung des Gesundheitssystems, lange Wartezeiten auf Arzttermine;[25, 36, 31]
15;Wenig Bäume im öffentlichen Raum (Beispiel Wettsteinbrücke: Kein Grün in Sicht! Wie wäre es mit Blumenkübeln, begrünte Tramlinie,…);[5, 6, 21, 25]
17;Die Preiserhöhung zu gross ein komen sechr  zur  wenig  fyr Familien  3 Käfige Asozial Leben und  Krankenkassen  zu hoch;[2, 4]
18;Zu hohe Steuern, hohe Kriminalität, zu viele Migranten, zu viele Bettler. Hässliche, seelenlose Neubauten! Weshalb lässt der Heimat- und Denkmalschutz das zu?!;[1, 23, 20, 48, 14]
21;Stadtklima und Verkehrssituation, hohe Wohnpreise für Familien.;[5, 6, 16, 18, 23, 24, 31, 33, 34, 45]
22;Die zunehmende Gewalt bereitet mir Sorgen. Ebenso Themen wie Mieterschutz. Ich habe inhaltlich Verständnis. Für eine Stadt, die darauf angewiesen ist, dass investiert und saniert wird, ist es sehr bremsend.;[23, 24]
23;Sehr teure Kinderbetreuungskosten Hohe Mietkosten;[3, 28]
24;Wohnungsangebote scheinen zu wenig zu sein. Besonders wenn man zu einem grösseren Haus umziehen oder ein Haus kaufen statt mieten wollte, würde man für mehrere Monate oder Jahre für ein gutes Angebot warten sollen. Wohnungspreise sind auch extrem hoch.;[3, 10]
26;Kriminalität, Abfall Sünder, Mängel an Arbeitsplätzen für Senioren, Armut;[23, 15, 8, 32]
27;Es vergeht leider fast kein Wochenende, ohne Meldungen, dass jemand überfallen, ausgeraubt oder vergewaltigt wurde. Die Stadt hat definitiv ein Problem mit der Sicherstellung der Sicherheit im öffentlichen Raum.;[23]
28;Drogenszene und Kriminalität;[23, 24]
29;Kriminalität. Schulsystem ist den vielschichtigen Problemen nicht gewachsen. Wir verlieren die jungen Menschen mit Migrationshintergrund. Es wir zu wenig in die jungen Menschen investiert. Die Massnahmen die getroffen werden greifen zu wenig. Es gibt zu viel Autoverkehr. Die Stadt ist für Familien zu wenig attraktiv. Gewisse Quartiere sind allgemein unattraktiv.;[23, 25, 33, 35, 45, 98]
30;-Sicherheit: in letzter Zeit ist es zu vielen Konflikten gekommen (Messerangriffe etc.). Ich persönlich fühle mich sehr unsicher, wenn ich unterwegs bin (vor allem abends).;[23, 38]
31;Lärm- und Luftbelastung, Dreckige Strassen, Abfall, abnehmendes Sicherheitsgefühl rund um den Bahnhof;[17, 16, 15, 23]
33;Hohe Steuern, Krankenkasse und Kriminalität;[1, 4, 23]
34;Wohnunssuche. Ich suche seid 3 Jahre mit meiner Familie eine Wohnung sind oft zur Sichtung gegangen doch uns wurde nie eine Chance gegeben obwohl die Wohnungen immernonig frei sind.;[3]
35;Eine Job zu finden und diesen langfristig zu behalten zu fairen Konditionen und fairer Behandlung.;[8]
36;Dass in der heutigen Zeit offensichtlich die Zeichen der Zeit verschlafen wurden und man Gesetze z. B. aus dem Jahre 1939 nicht an die jetzigen Begebenheiten anpasst. Viel Schlimmer aber finde ich das man auf Ämtern immer noch mit so alten Zöpfen argumentiert und man an Paragrafenreiterei festhält statt an gesundem Menschenverstand.;[30]
38;Driving a car and finding a parking;[5, 7]
39;Wohnungsnot, wirtschaftliche Not, Armut zuviele Menschen auf zu engem Raum. Immer mehr Ausländer, die sich nicht integrieren lassen wollen. Kriminalität im Kleinbasel. Isolation der Menschen, Einsamkeit.;[3, 20, 23, 33, 38, 46]
40;Feierabendstau nach Basel am Abend  Zu wenig öffentliche (und saubere) Gratis-Toiletten  Sehr hohe Steuern;[5, 15, 1]
42;Kriminalität,wildedeponie,;[23, -99]
45;Sauberkeit, ÖV, Obdachlosenpflege;[15, 6, 29]
46;Baustellen;[36]
47;Ungleichverteilung der sozialen Beiträge, Streichung sämtlicher Parkplätze auf öffentlichem Grund, Gewalt, Regierungs- und Grossräte sind nicht optimal besetzt.;[32, 7, 37, 30]
49;Die zusammensetzung der Bevölkerung, ich vermisse die hiesige Sprache. Die viel zu hohen  Krankenkassenprämien . Zu wenig Polizei ,zu viele Demos , Das nichts unternommen wird, gegen Radfahrer die sich nicht an die Verkersregeln halten .;[2, 4, 23, 25, 27, 35]
50;Grenzgänger , Verhaltensstörungen von Menschen aus Frankreich.  Bettler (Vermutlich Zigeuner aus Rumänien oder Bulgarien), seit Schengen Abkommen;[45]
52;- öffentliche Sicherheit;[23]
53;- Sauberkeit: Von Abfallsäcken, die ständig zu früh herausgestellt werden bis zu Littering. - Einwanderung: Langsam wirds eng (kaum noch Hausarztpraxen, die noch neue PatientInnen aufnehmen), steigende Gesundheitskosten, die die Sozialhilfe übernehmen muss, allgemeines Platzproblem und merklich kulturelle Unterschiede, die das Zusammenleben nicht bereichern. Dies gerade im Hinblick auf die Rücksicht von Ruhetagen, allgemeiner Rücksichtnahme und der Sauberkeit. Kulturelle Differenzen lassen sich nicht einseitig überbrücken und müssen auch direkt angesprochen werden.  - Beim Rheinbord bei der Dreirosenbrücke sollte man auch am helllichten Tag vorsichtig sein, offener Drogenkonsum- und Handel, wachsende Kriminalität, Vergewaltigungen an der Elsässerstrasse, viel Abfall und Schmutz um den Voltaplatz herum. - Velowege: Gutes Beispiel ist der Schützengraben, vorbei am Spalentor und dem Feuerwehrmagazin. Warum gibt es dort keinen sicheren Veloweg? Warum wird nicht mehr investiert, so dass man z.B. auch nicht an der Seite von parkierten Autos fahren muss, sondern wie z.B. in Dänemark zwischen Bürgersteig und Parkplätzen? So ist die Chance, dass man in eine aufgerissene Autotüre fährt, kleiner.  - Grosse Autos/SUVs/Camper: Warum bezahlen solche grossen Personenwagen gleich viel Parkplatzgebühr, wie BesitzerInnen von kleinen Autos?  - Parkkarte auch für ausländische Autos: Durch die schwindenden blauen Zonen sollte es weniger Parkkarten für ausländische Autos geben.;[15, 20, 23, 5, 7]
54;Für mich definitiv der Strassenverkehr, zu viel Individual-Verkehr durch Grenznähe und Grenzgänger aber auch durch die Einwohner der Stadt;[5, 35, 45]
55;Sicherheit in einzelnen Quartieren;[23]
56;Sicherheit im öffentlichen Raum;[23]
57;Zu hohe Steuern, eine Selbstzufriedenheit des Kantons, zu grosse Selbstbezogenheit, Unternehmerunfreundliches Klima, Hang zur Verstaatlichung zu gross.;[1, 19, 30]
58;Wohnraum mit schlechtem Preis-Leistungs-Verhältnis, bald Wohnungsnot? hohe Krankenkassenprämien ohne Ende hohe Lärmbelastung, durch Hoch- und Tiefbau in der Stadt grosse Ansammlung von Leuten mit sozialen, finanziellen und gesundheitlichen Problemen, Dichte-Stress hohe Vermögenssteuer Grünraum wird knapp für die Erholung;[3, 4, 15, 16, 22, 24, 30]
59;Abzockerei bei Mietwohnungen durch Investoren, dazu die Unterstützung durch den Kanton (eigener Erfahrung), viele Baustellen;[3, 15, 36]
60;Verkehrssituation sehr problematisch für Miv. Alles wird für Fahrräder ausgerichtet. Angebot an Läden in der Innenstadt schlecht weil Zugänglichkeit mit verschiedenen Verkehrsmitteln schlecht.;[5, 27]
61;Die öffentliche Sicherheit zerfällt Hetze gegen Autofahrer, Autohass, Parkplatzmangel Die Staatsquote ist allgemein zu hoch, jedoch in den Bereichen Sicherheit und Pflege fehlen die wichtigen Schlüsselpersonen Die unausgewogene politische Situation Die Wohlstandsverwahrlosung;[7, 30, 33, 32]
62;- Kriminalität - Parkplatzmangel - Parkplatzgebühren (Jahres-Parkkarte) - Velo-Rowdys - Klimapolitik (2-Klassen-Gesellschaft) - Fehlbesetzung von Kantonalen Funktionen u. a. im Bereich Poltik;[7, 15, 16, 23, 27, 30]
64;- kindercafes fehlen mir.;[28]
65;Gewaltiche Übergriffe,zu viel Migranten,das mann als Frau sich nicht mehr getraut alleine raus zu gehn!!;[23, 45]
66;Sicherheit und Sauberkeit meiner Nachbarschaft ist nicht sehr gut;[17, 15]
67;Personen, die überall Probleme sehen;[19, 30, 33, 34, 38, 97]
68;Immer weniger werdende Parkplätze (Gewerbe oder in den Wohnquartieren) Innenstadt/Fussgängerzone hat Verbesserung potenzial viele Baustellen, Velo/E-Trottinett versperren zum Teil die Gehsteige.;[5, 7, 36]
69;Baustellen überall... Stau;[5, 7]
71;Zu viel kosmetische Baustellen.;[36]
72;Zu viel Verdichtung, insbesondere in bereits belasteten/ dicht bebauten Quartieren. Zu viele versiegelte Flächen auch an Orten, wo das nicht nötig wäre.  Zu wenig Grün- und Freiraumflächen für die immer grösser werden Anzahl von NutzerInnen. Fehlende Koordination zwischen Bautätigkeit und Klimazielen.;[15, 21, 24, 34]
73;Der politische Stillstand trotz drängender Probleme wie zum Beispiel der Klimaerwärmung.;[30, 18]
74;Die Velofahren und wie man den Automobilisten das Leben schwer macht.;[5, 6]
76;Strassenbaustellen, Abbau von Parkplätzen, Stau;[5, 7, 36]
77;Verkehr, Fahrràder, Strassenbauarbeiten, Bettler, Trottinen;[5, 7, 36, 48]
79;Baustelle;[36]
81;Verkehrssicherheit für Velo;[5]
85;bezahlbaren Wohnraum für Familien;[3]
