text_id;text;result
1;Die Nähe zur Stadt und dass man mit der BVB überall gut hinkommt. Mir gefällt, dass man im Rhein schwimmen kann und alles sehr kompakt ist. Und natürlich die Fasnacht.;[3, 6, 7, 12]
2;Das es den FCB gibt.;[-99]
3;Mir gefällt, dass die Innenstadt kompakt ist, dass der Rhein durch Basel fliesst.;[1, 12]
4;Ich mag die eher ruhige Umgebung, die aber trotzdem relativ nahe am Zentrum liegt (also mit Tram und Bus kommt man schnell in die Stadt).;[3, 12]
6;Die Innenstadt  das öffentliche Verkehrssystem  Direkt an der Grenze zu Deutschland und Frankreich;[3, 12]
7;Das es hier viele Unterhaltungsmöglichkeiten, wie Kino, Schwimmbäder etc., hat. Und die vielen Cafés;[7]
8;Park in der Nähe, lange Erlen-> Pumpwerk  Freunde, Trammhaltestelle in der Nähe, Spital;[5, 3]
9;Dass es viele Freizeitmöglichkeiten gibt (Rhein, Parks etc.);[7]
10;Ausgang abends  Lange Erlen;[7]
11;Eigentlich fast alles;[8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
