text_id;cat_id
9;3
9;20
9;23
9;27
9;31
9;37
9;48
12;3
12;5
14;26
14;36
14;31
15;21
15;24
17;4
17;33
18;1
18;23
18;20
18;48
18;45
18;46
18;97
21;3
21;5
22;23
22;24
23;3
23;28
24;3
24;27
26;23
26;15
26;8
26;32
27;23
28;23
28;24
29;23
29;25
29;27
29;33
29;45
29;46
30;23
31;17
31;16
31;15
31;23
33;1
33;4
33;23
34;3
35;8
36;30
38;5
38;7
39;3
39;20
39;23
39;27
40;5
40;15
40;1
42;23
45;15
45;6
45;29
46;36
47;7
47;32
47;37
47;30
49;20
49;24
49;23
49;6
49;5
50;45
52;-99
53;15
53;20
53;23
53;5
53;7
54;5
54;20
54;45
55;23
56;23
57;19
58;3
58;4
58;17
58;23
58;24
58;31
59;3
59;36
60;5
60;7
61;7
61;23
61;30
61;33
62;7
62;15
62;18
62;23
62;30
64;28
65;23
65;20
65;45
66;23
66;15
67;19
68;5
68;7
68;36
69;16
71;36
72;15
72;21
72;24
73;30
74;5
74;16
76;5
76;7
76;36
77;5
77;7
77;36
77;48
79;36
81;5
85;3
86;1
86;4
86;7
86;9
86;12
86;14
86;16
86;18
86;26
86;27
86;28
86;29
86;33
86;36
86;37
86;38
86;46
87;3
88;7
88;28
91;3
91;7
91;15
91;23
91;27
91;28
93;23
93;45
93;38
94;16
95;14
95;20
95;27
96;3
96;23
98;23
99;36
100;24
100;33
100;37
102;5
102;7
103;5
103;6
106;7
106;23
106;31
106;29
107;36
108;3
108;4
108;1
109;23
109;25
109;27
109;28
109;33
109;34
109;35
109;37
109;38
109;45
109;47
109;48
110;36
111;36
111;7
113;3
113;15
114;1
114;4
114;7
114;10
115;23
118;23
118;5
119;-99
120;33
120;32
121;23
123;15
123;23
123;48
124;5
124;7
124;3
125;5
125;23
125;20
127;5
127;23
128;36
131;3
131;9
133;3
133;7
134;7
134;4
134;3
136;11
137;16
137;23
140;15
142;1
142;4
143;5
143;7
145;3
145;5
146;45
147;5
147;17
149;17
150;30
151;3
151;4
151;5
151;36
153;7
153;19
153;21
156;7
156;36
156;1
158;1
159;5
159;36
162;7
162;28
163;5
163;18
165;23
165;38
168;3
168;5
169;15
169;17
170;6
170;8
170;16
170;27
170;36
170;45
170;46
170;48
173;5
174;3
176;15
176;16
176;17
176;23
176;24
176;27
176;29
176;35
176;37
176;47
177;17
177;2
178;30
179;23
183;6
184;17
184;24
184;33
185;30
186;23
186;20
186;7
186;15
187;22
187;23
187;30
187;33
187;34
187;47
188;99
190;3
190;7
190;15
190;36
196;17
197;15
197;28
198;15
198;21
199;3
200;24
200;27
200;35
200;36
200;37
200;45
201;4
201;33
202;15
202;16
202;17
204;17
205;23
205;25
205;27
205;29
205;35
205;37
205;45
205;48
206;5
206;6
207;36
207;28
207;25
209;11
213;15
213;23
213;24
217;7
217;17
218;4
219;15
219;23
219;33
220;1
220;42
220;44
221;97
226;3
226;36
228;36
229;7
232;5
232;7
232;17
232;3
233;26
235;-99
237;48
238;36
239;3
240;23
240;25
240;20
241;23
242;48
245;8
245;23
246;15
247;12
247;32
248;23
248;33
250;3
250;5
250;7
250;16
250;17
250;18
250;21
250;23
250;24
250;27
250;28
250;30
250;34
250;36
251;28
251;5
253;23
254;17
255;7
255;16
255;18
255;20
256;15
256;23
256;30
256;34
257;1
260;3
262;5
262;20
262;23
265;7
266;23
266;1
266;26
266;98
266;20
269;5
269;7
269;10
269;30
270;30
271;23
271;15
272;3
272;20
272;23
273;20
273;23
274;3
275;23
276;1
277;23
277;25
277;48
278;3
278;6
278;8
279;-99
280;36
280;16
280;47
283;20
284;20
284;22
284;45
287;9
287;27
287;28
287;32
289;36
289;23
290;5
290;3
291;23
291;33
291;20
291;19
291;24
292;23
292;25
292;30
292;45
292;46
292;48
295;5
295;15
295;27
296;15
296;16
296;17
296;18
296;27
296;36
300;7
301;23
301;20
301;30
302;3
302;36
303;3
303;7
304;48
305;3
305;14
308;1
308;4
309;36
309;15
309;44
311;18
312;15
312;37
314;17
314;33
314;20
315;22
315;15
318;29
318;46
319;23
319;30
319;45
321;7
321;16
322;23
323;27
323;36
323;98
324;-99
325;36
326;20
326;23
326;24
326;1
327;23
327;24
327;18
331;23
332;3
332;5
332;7
332;11
332;23
332;26
332;31
332;32
333;3
333;17
334;3
334;5
334;36
335;14
335;27
335;40
336;36
336;48
339;15
341;36
343;36
343;37
345;36
345;23
346;5
346;21
346;27
347;5
347;16
349;23
350;23
350;36
