text_id;cat_id
1;3
1;7
1;11
1;12
2;-99
3;1
3;12
4;3
4;12
6;3
6;12
7;7
8;5
8;3
9;7
9;5
10;7
11;8
12;5
13;6
14;5
15;14
16;1
17;4
18;12
20;5
21;2
22;3
22;12
22;16
23;8
24;8
24;12
26;6
26;999
27;3
31;7
34;7
35;4
35;12
39;11
40;1
40;3
40;5
42;8
43;4
43;6
44;8
45;3
45;5
45;6
46;5
47;1
48;5
48;15
49;3
50;18
51;4
52;3
53;4
54;2
55;3
56;1
57;12
58;3
58;20
59;1
59;3
59;5
60;3
60;6
60;7
61;5
61;12
62;1
62;5
62;12
63;11
64;2
65;3
65;14
65;7
65;12
65;1
66;11
66;7
67;1
68;1
68;12
69;1
70;1
70;5
71;7
72;1
72;4
72;12
73;4
73;7
74;2
75;3
75;7
75;12
76;3
76;5
76;20
77;5
77;15
78;1
78;4
79;1
80;7
81;-99
82;15
83;3
83;20
84;1
84;12
85;1
85;4
85;12
86;2
87;19
88;5
89;5
90;1
90;5
90;12
91;11
91;14
92;12
92;8
94;3
94;4
96;6
97;3
97;18
101;4
104;-99
106;7
106;1
109;4
111;7
113;7
115;8
116;3
117;7
119;1
124;4
124;6
124;8
124;10
124;12
124;15
124;16
124;17
124;19
124;20
125;5
125;7
125;12
126;7
126;12
126;15
127;2
127;6
127;7
127;17
127;19
128;5
128;1
129;5
129;12
134;4
134;5
134;6
134;12
134;17
134;20
136;5
136;12
137;11
138;1
139;6
139;7
139;17
140;1
141;4
141;6
142;3
143;5
143;7
143;18
144;4
144;7
145;6
145;12
147;8
148;8
149;6
149;7
150;7
150;12
150;15
151;8
152;7
152;13
153;1
153;12
153;15
154;4
154;12
155;3
155;4
155;8
156;1
156;6
156;7
156;12
157;12
157;17
157;7
158;7
159;3
160;-99
161;1
161;12
162;4
162;12
163;1
164;1
164;11
165;1
165;6
165;11
165;12
166;11
166;12
167;5
167;7
167;16
168;3
168;4
168;5
168;8
168;11
169;5
169;6
169;7
170;12
170;5
170;7
171;3
171;6
171;7
171;11
171;15
172;16
174;16
