;cat_id;count;cat_code
0;1;3;Rheinufer (inkl. Birsköpfli, Hafenareal, usw.), Birs, Wiese
1;2;1;Kurze Wege
2;3;7;Öffentlicher Verkehr
3;4;2;Viele Ladengeschäfte, Restaurants
4;5;5;Parks, Plätze, Grünflächen
5;6;3;Menschen
6;7;6;Freizeitangebote (Sport, Kulturelle Anlässe etc.)
7;8;4;Alles
8;9;1;Anderes
9;11;1;Schule/ Ausbildung/ Arbeitsmöglichkeiten
10;12;7;Stadt (Innenstadt, Grösse der Stadt, Basel ist schön) 
11;14;1;Sicherheit
12;16;1;Kulturelle Vielfalt
13;17;1;Lebens- und Wohnstandard
14;999;1;Keine Angabe
